INSERT INTO occ_income (income, occupation_id, household_id)
VALUES


(0, 122, 1),
(0, 2, 2),
(100, 39, 3),
(2500, 68, 4),
(100, 76, 5),
(0, 123, 6),
(0, 0, 7),
(0, 0, 8),
(100, 102, 9),
(0, 123, 10),
(0, 122, 11),
(2883, 87, 11),
(100, 56, 12),
(0, 123, 13),
(0, 87, 14),
(200, 119, 14),
(0, 123, 15),
(0, 110, 16),
(0, 0, 17),
(0, 66, 18),
(100, 102, 19),
(100, 45, 20),
(250, 51, 21),
(0, 110, 22),
(250, 5, 23),
(150, 57, 24),
(0, 104, 25),
(200, 102, 26),
(100, 45, 27),
(0, 0, 28),
(150, 89, 29),
(0, 123, 30),
(0, 110, 31),
(150, 5, 32),
(100, 7, 33),
(150, 57, 34),
(100, 5, 35),
(50, 5, 36),
(0, 87, 37),
(0, 87, 38),
(150, 54, 39),
(100, 102, 40),
(200, 119, 41),
(0, 107, 42),
(150, 41, 43),
(300, 119, 44),
(0, 110, 45),
(0, 110, 46),
(300, 119, 47),
(0, 66, 47),
(150, 72, 48),
(150, 102, 49),
(0, 0, 50),
(0, 0, 51),
(0, 123, 52),
(100, 57, 53),
(100, 102, 54),
(150, 51, 55),
(200, 89, 56),
(600, 119, 57),
(120, 64, 57),
(250, 72, 58),
(150, 7, 59),
(0, 0, 60),
(150, 2, 61),
(150, 39, 62),
(150, 102, 63),
(285, 74, 64),
(100, 102, 65),
(0, 0, 66),
(0, 123, 67),
(200, 39, 68),
(250, 61, 69),
(0, 123, 70),
(0, 91, 71),
(0, 91, 72),
(0, 102, 73),
(600, 2, 74),
(100, 26, 75),
(0, 110, 76),
(50, 2, 77),
(50, 45, 78),
(150, 2, 79),
(0, 110, 80),
(0, 0, 81),
(0, 91, 82),
(50, 102, 83),
(550, 2, 84),
(0, 109, 85),
(200, 51, 86),
(100, 56, 87),
(0, 123, 88),
(0, 102, 89),
(0, 123, 90),
(200, 89, 90),
(500, 102, 91),
(432.2, 87, 92),
(100, 57, 93),
(0, 109, 94),
(0, 0, 95),
(200, 51, 96),
(200, 102, 97),
(0, 82, 98),
(50, 45, 99),
(200, 0, 100),
(0, 0, 101),
(0, 0, 102),
(360, 63, 103),
(400, 5, 104),
(0, 123, 105),
(0, 122, 106),
(612.2, 87, 107),
(120, 64, 108),
(500, 119, 108),
(968, 87, 109),
(300, 41, 109),
(0, 0, 110),
(0, 0, 111),
(0, 122, 112),
(0, 123, 113),
(0, 91, 114),
(100, 41, 115),
(0, 66, 116),
(150, 102, 117),
(0, 107, 118),
(200, 119, 119),
(100, 26, 120),
(3000, 72, 121),
(320, 61, 122),
(120, 15, 123),
(250, 30, 124),
(0, 109, 125),
(250, 102, 126),
(4000, 87, 127),
(1000, 119, 127),
(100, 26, 128),
(0, 107, 129),
(300, 5, 130),
(150, 45, 131),
(0, 26, 132),
(300, 2, 133),
(200, 77, 134),
(1200, 63, 135),
(100, 102, 136),
(100, 51, 137),
(0, 106, 138),
(827, 87, 139),
(600, 119, 139),
(613, 87, 139),
(0, 66, 140),
(250, 119, 140),
(0, 0, 141),
(0, 110, 142),
(100, 46, 143),
(100, 7, 144),
(0, 87, 145),
(100, 2, 146),
(500, 119, 147),
(300, 5, 148),
(300, 112, 149),
(0, 66, 150),
(0, 92, 150),
(100, 56, 151),
(100, 30, 152),
(0, 123, 153),
(600, 72, 154),
(200, 5, 155),
(0, 0, 156),
(300, 85, 157),
(168, 87, 158),
(150, 112, 158),
(400, 5, 159),
(100, 120, 160),
(0, 108, 161),
(1252, 87, 162),
(200, 102, 163),
(120, 77, 164),
(0, 107, 165),
(0, 122, 166),
(400, 61, 167),
(100, 45, 168),
(300, 120, 169),
(0, 123, 170),
(500, 44, 170),
(200, 62, 171),
(200, 39, 172),
(100, 72, 173),
(100, 69, 174),
(100, 75, 175),
(0, 0, 176),
(100, 51, 177),
(300, 39, 178),
(405, 61, 179),
(200, 41, 180),
(600, 26, 181),
(0, 0, 182),
(500, 61, 183),
(0, 123, 184),
(0, 42, 185),
(1500, 119, 186),
(2400, 78, 187),
(300, 112, 188),
(0, 111, 189),
(150, 102, 190),
(100, 102, 191),
(500, 112, 192),
(250, 72, 193),
(100, 102, 194),
(50, 39, 195),
(100, 45, 196),
(300, 72, 197),
(0, 0, 198),
(100, 56, 199),
(150, 39, 200),
(1800, 65, 201),
(100, 102, 202),
(200, 61, 203),
(0, 102, 204),
(120, 102, 205),
(120, 56, 206),
(120, 56, 207),
(150, 86, 208),
(100, 39, 209),
(50, 115, 210),
(0, 123, 211),
